Label,Centroid_X,Centroid_Y,Theta,Percent_Filled,BoundingBox_Ratio
airpods,438.711,185.001,-0.0501261,16860.1,1.35664
airpods,440.931,424.489,-0.00155515,10638.2,2.0625
airpods,174.401,473.673,-0.0219708,14198.9,4.36364
airpods,239.806,477.006,-0.0269796,20642.9,5.83333
airpods,304.788,203.699,-1.44912,21050.3,0.898551
airpods,304.892,202.483,-1.43582,21111.4,0.907143
airpods,304.919,202.836,-1.44104,21134.7,0.905797
airpods,304.925,202.281,-1.43298,21736.1,1.06452
airpods,305.167,202.146,-1.43174,21613.3,0.93985
airpods,305.248,201.922,-1.45154,21643.4,0.925373
airpods,304.944,201.228,-1.44533,21878.4,0.933824
airpods,304.896,203.102,-1.4431,21517.4,0.932836
airpods,302.513,202.39,-1.36064,21928.9,0.950355
airpods,265.28,230.387,1.19528,22133.4,0.969582
airpods,270.128,215.718,1.11283,21894.9,0.950397
airpods,270.72,214.912,1.0825,21836.6,0.944444
airpods,266.877,217.407,1.15363,22006.2,0.964749
airpods,268.878,215.345,1.11173,22039.3,0.957611
airpods,269.549,215.091,1.09442,21605.7,0.933586
airpods,269.938,213.893,1.09387,21716.1,0.941634
airpods,265.294,219.245,1.19036,21865.9,0.961183
airpods,113.089,441.321,0.0237781,20393,1.96591
airpods,113.859,440.827,0.0227364,20283.7,1.92222
airpods,256.033,381.939,-0.669078,21651,0.993007
airpods,286.997,346.973,-0.780933,21839.8,1
airpods,287.301,339.801,-0.741669,21896.4,1.01837
airpods,287.893,333.404,-0.505851,22124.1,1.02174
airpods,290.28,321.777,-0.0924983,22175.3,1.01575
airpods,288.413,329.455,-0.378279,22013,0.978417
airpods,302.805,200.792,-0.604542,22302.4,1.01878
airpods,289.869,200.82,-0.54992,22258.3,1.01008
airpods,289.477,198.446,-0.524245,22310.9,1.0109
airpods,289.372,197.921,-0.580918,22261.8,1.00839
airpods,284.42,265.565,-0.634985,22247.5,1.01859
airpods,310.189,297.186,-0.994242,22359,1.03109
airpods,310.685,295.298,-0.986901,22319.8,1.02904
airpods,309.761,295.583,-0.990886,22372.6,1.03229
airpods,358.411,256.206,1.40923,22203.6,1.0315
airpods,349.388,244.377,1.45791,22221.6,1.0263
airpods,350.219,245.22,1.54697,22082.7,1.02582
airpods,350.735,247.537,1.45535,22198.3,1.02478
airpods,345.744,245.869,-1.41245,22006.7,1.03481
airpods,228.5,208.081,1.05271,22370.7,0.963303
airpods,232.744,200.579,1.1492,22461.8,0.966507
airpods,332.943,43.786,-0.0705708,20772.4,1.62626
airpods,272.583,75.7944,-0.485197,20946.5,0.953043
airpods,425.432,230.211,0.263132,21486.2,0.904939
airpods,320.42,283.394,0.615745,22029,0.961471
airpods,319.855,292.956,0.52157,21587.2,0.933987
airpods,315.336,232.058,0.346491,21761.8,0.948617
airpods,301.34,128.066,0.474882,21462.5,1.02567
airpods,302.527,126.533,0.0971828,21486.4,1.03947
airpods,335.042,130.268,0.772687,21893.6,1.02532
airpods,351.454,129.23,0.411651,21549.8,1.05
airpods,333.602,107.125,1.16876,21702.3,1.02532
airpods,327.881,111.932,1.01067,21921.5,1.02532
airpods,385.93,81.2258,-0.846677,21482.4,1.08057
airpods,388.808,115.112,-1.14141,21812.8,1.0025
airpods,276.954,190.024,1.09432,22216.6,0.977528
airpods,291.785,175.631,-1.34766,22074.6,1.005
airpods,305.278,159.732,-0.254866,21888.8,1.01364
airpods,245.888,181.774,0.0552811,20837.9,1.1
airpods,227.188,213.065,0.430628,21327.6,0.886406
airpods,270.216,205.771,1.24333,21361.8,0.91807
airpods,166.768,158.307,0.908395,20807.4,0.936364
airpods,178.554,69.8804,1.26375,20462.4,1.05838
airpods,195.738,68.3034,1.16545,20913.5,1.00943
airpods,175.351,339.189,0.437882,12092.9,1.58127
airpods,622.777,44.8116,1.3691,12306.8,2.27273
airpods,63.2434,141.049,0.897316,9583.74,0.387428
airpods,415.858,368.38,0.955372,14247.2,0.229167
airpods,623.607,476.443,0.0197351,16907.6,0.347826
airpods,227.542,417.627,0.757693,12630.4,0.466912
airpods,118.612,266.932,1.35158,15983.6,0.759916
airpods,622.778,107.948,1.4932,12063.4,0.177632
airpods,401.033,465.569,1.06249,12551.7,1.15789
airpods,336.294,407.209,1.302,15213.9,0.311966
airpods,314.734,239.88,-0.108894,21172.2,1.1303
airpods,136.432,241.525,1.55773,17050,0.772443
airpods,324.107,207.918,-0.180678,20403.7,1.14223
airpods,229.962,283.9,1.15281,21878,0.992188
airpods,216.601,332.259,-0.501334,21671.8,0.997375
airpods,264.334,261.364,0.617021,21610.7,0.947527
airpods,239.759,273.779,0.324744,21432,0.949008
airpods,331.516,318.9,-0.266994,21807.1,1.01679
airpods,475.812,179.847,0.876469,12577.8,1.1357
airpods,15.3002,407.34,1.5114,13913.8,3.60417
airpods,370.245,168.8,-1.56403,22224.3,1.03083
airpods,351.831,220.699,1.5402,22257.5,1.02011
airpods,314.872,314.349,-0.416928,21981.4,1.04211
